text,n_instances,mean_complexity,genre,epoche,date
"Kairo, Institut français d’archéologie orientale, 895",25,2466.4,Administrativer Text,Neues Reich,-1148.5
"D. Assiut N13.1 TS2",1,2463,Lehre,Neues Reich,-1422.5
"New York City, Metropolitan Museum of Art, 22.3.516",1432,2462.5656424581,Brief,Mittleres Reich,-1933.5
"O. Deir el-Bahri T3.L12",6,2461.66666666667,Kemit,Neues Reich,-1309.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1072",23,2461.39130434783,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, SA 8564",19,2460.15789473684,Administrativer Text,Neues Reich,-1191
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1076",17,2458.41176470588,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 18",8,2454.875,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57257",8,2453.125,Administrativer Text,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, SA 115",20,2450.1,Namenliste/Onomasticon,Neues Reich,-1196.5
"O. Ramesseum 2005-STO-003",15,2447.6,Kemit,Neues Reich,-1246
"Paris, Bibliothèque Nationale de France, Egyptien 206",56,2447.46428571429,Haushaltsliste,Neues Reich,-1292.5
"O. Amheida 11050",44,2446.88636363636,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12346",3,2446.33333333333,nicht spezifiziert,Altes Reich,-2433
"D. Assiut N13.1 TBS3",8,2444.25,Opferformel ḥtp-ḏı͗-nsw.t,Neues Reich,-1422.5
"D. Assiut N13.1 TAN1",5,2434.4,nicht spezifiziert,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, DeM 591",29,2433.20689655172,Administrativer Text,Neues Reich,-1190
"Turin, Museo Egizio, CGT 57256",7,2431.42857142857,Administrativer Text,Neues Reich,-1127.5
"Kairo, Institut français d’archéologie orientale, 1955",10,2429.4,Administrativer Text,Neues Reich,-1235.5
"München, Staatliche Sammlung Ägyptischer Kunst, ÄS 3402",21,2429.04761904762,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 23",3,2429,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TW34",5,2428.8,nicht spezifiziert,Neues Reich,-1309.5
"D. Assiut N13.1 TN22",7,2428.28571428571,Lehre,Neues Reich,-1422.5
"London, British Museum, EA 10735",576,2427.89236111111,Rechnung,Altes Reich,-2314.5
"D. Assiut N13.1 TW23",4,2427,Fürbitte,Neues Reich,-1182
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1075",28,2426.85714285714,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10638",30,2418.26666666667,Kemit,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14238",26,2414.92307692308,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 3",28,2413.57142857143,Administrativer Text,Neues Reich,-1291.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14149",14,2406.57142857143,Administrativer Text,Neues Reich,-1157.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 9901",5,2404,Namenliste/Onomasticon,Neues Reich,-1127.5
"Kairo, Ägyptisches Museum, TR 25/3/52/1_(8)",127,2401.44094488189,Kemit,Zweite Zwischenzeit,-1600
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12625",30,2400.73333333333,Administrativer Text,Neues Reich,-1153.5
"D. Assiut N13.1 TS10",14,2397.35714285714,Kemit,Neues Reich,-1422.5
"Turin, Museo Egizio, CGT 57006",84,2393.05952380952,Administrativer Text,Neues Reich,-1151.5
"Turin, Museo Egizio, S. 17507/2",93,2391.55913978495,nicht spezifiziert,Altes Reich,-2553.5
"D. Assiut N13.1 TS39",57,2389.36842105263,Historischer Vermerk,Neues Reich,-1156
"Kairo, Institut français d’archéologie orientale, OL 1",45,2384.2,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2620",16,2383.375,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12366",56,2383.21428571429,Kemit,Neues Reich,-1240.5
"Kairo, Institut français d’archéologie orientale, 2609",8,2383,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57085",7,2382.85714285714,Administrativer Text,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, SA 3231",17,2377.94117647059,Administrativer Text,Neues Reich,-1163.5
"London, Petrie Museum of Egyptian Archaeology, UC 32055",1,2377,nicht spezifiziert,Mittleres Reich,-1852.5
"Kairo, Ägyptisches Museum, JE 56842 A/B",136,2373.43382352941,Kemit,Neues Reich,-1246
"O. DEM_2019_M25_125",6,2373.33333333333,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57056",2,2370,Haushaltsliste,Neues Reich,-1160.5
"Turin, Museo Egizio, CGT 57007",20,2368.7,nicht spezifiziert,Neues Reich,-1156
"Cambridge, Fitzwilliam Museum, E.GA.4758.1943",55,2364.90909090909,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2565",32,2364.09375,Kemit,Neues Reich,-1182
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.422",12,2363.16666666667,Kemit,Neues Reich,-1182
"Kairo, Ägyptisches Museum, TR 25/3/52/1_(15+19)",146,2361.21917808219,Kemit,Zweite Zwischenzeit,-1600
"Kairo, Institut français d’archéologie orientale, 203",35,2359.97142857143,Administrativer Text,Neues Reich,-1158.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 9897",40,2359.725,Administrativer Text,Neues Reich,-1148.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12627",37,2359.51351351351,Administrativer Text,Neues Reich,-1157.5
"Kairo, Institut français d’archéologie orientale, OL 45",4,2359.5,Kemit,Neues Reich,-1182
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.592",10,2357.4,Kemit,Neues Reich,-1182
"O. Amarna EA 330",26,2356.73076923077,Kemit,Neues Reich,-1422.5
"D. Assiut N13.1 TW35",25,2354.8,Fürbitte,Neues Reich,-1182
"D. Assiut N13.1 TS20",17,2351.70588235294,Besuchertext,Neues Reich,-1422.5
"London, Petrie Museum of Egyptian Archaeology, 32157 vo",4,2348.25,Erzählung,Mittleres Reich,-1802
"Kairo, Institut français d’archéologie orientale, 893",15,2348.2,Administrativer Text,Neues Reich,-1151.5
"Kairo, Institut français d’archéologie orientale, 4",23,2346.69565217391,Administrativer Text,Neues Reich,-1291.5
"D. Assiut N13.1 TN23",5,2345.4,Besuchertext,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2606-I",28,2342.39285714286,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10632",95,2341.29473684211,Administrativer Text,Neues Reich,-1168.5
"Kairo, Institut français d’archéologie orientale, 93",23,2337.82608695652,Administrativer Text,Neues Reich,-1206
"Kairo, Ägyptisches Museum, CG 25726 London, British Museum, EA 50722",58,2335.53448275862,Administrativer Text,Neues Reich,-1152.5
"Kairo, Institut français d’archéologie orientale, O. DeM 595",13,2335.15384615385,Administrativer Text,Neues Reich,-1197
"Kairo, Institut français d’archéologie orientale, OL 6",12,2334.75,Kemit,Neues Reich,-1182
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, H. hier. 82",46,2327.21739130435,Administrativer Text,Neues Reich,-1152.5
"D. Assiut N13.1 TN42",35,2326.65714285714,Besuchertext,Neues Reich,-1360.5
"Brüssel, Musées Royaux d’Art et d’Histoire, E 3208 Kairo, Institut français d’archéologie orientale, 2509 + 2510",550,2326.31272727273,Kemit,Neues Reich,-1168.5
"D. Assiut N13.1 TS4",16,2321.4375,nicht spezifiziert,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 1122",27,2318.59259259259,Administrativer Text,Neues Reich,-1182
"London, British Museum, EA 5635",182,2318.35164835165,Administrativer Text,Neues Reich,-1194
"Kairo, Institut français d’archéologie orientale, 202 Straßburg, Bibliothèque nationale et universitaire de Strasbourg, H. hier. 42",52,2315.13461538462,Administrativer Text,Neues Reich,-1152.5
"Kairo, Institut français d’archéologie orientale, 2507",36,2314.86111111111,Kemit,Neues Reich,-1182
"O. DEM_2019_M25_140",18,2313.05555555556,Kemit,Neues Reich,-1182
"Heidelberg, Sammlung des Ägyptologischen Instituts der Universität Heidelberg, 214",18,2306.16666666667,Kemit,Neues Reich,-1182
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1016",12,2304.66666666667,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 215",16,2298.625,Administrativer Text,Neues Reich,-1152
"Turin, Museo Egizio, CGT 57204",7,2297.85714285714,Administrativer Text,Neues Reich,-1157.5
"O. DEM_2019_M25_167",20,2296.4,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TN2",83,2295.71084337349,Kolophon,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14255",45,2295.37777777778,Administrativer Text,Neues Reich,-1216
"D. Assiut N13.1 TN37",108,2295.07407407407,Besuchertext,Neues Reich,-1422.5
"Leiden, Rijksmuseum van Oudheden, H** 25",5,2293.8,Nicht spezifizierter Funerärer Text,Altes Reich,-2553.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12629",47,2292.8085106383,nicht spezifiziert,Neues Reich,-1158.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14210",19,2291.42105263158,Administrativer Text,Neues Reich,-1127.5
"D. Assiut N13.1 TS47",5,2291.4,Namensvermerk,Neues Reich,-1182
"O. DeM 612",51,2289.3137254902,Namenliste/Onomasticon,Neues Reich,-1190
"Kairo, Institut français d’archéologie orientale, O. DeM 571",90,2287.02222222222,Administrativer Text,Neues Reich,-1117.5
"Kairo, Institut français d’archéologie orientale, 2518",9,2286.44444444444,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TW33",3,2286.33333333333,Fürbitte,Neues Reich,-1182
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.614",12,2286.08333333333,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, DeM 565",31,2281.74193548387,Namenliste/Onomasticon,Neues Reich,-1168.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 9906",43,2281.67441860465,Administrativer Text,Neues Reich,-1178.5
"D. Hatnub 9",1,2281,nicht spezifiziert,Erste Zwischenzeit,-2092.5
"London, British Museum, EA 29548",24,2277.45833333333,Kemit,Neues Reich,-1240.5
"D. Assiut N13.1 TN12",11,2276.54545454545,Namensvermerk,Neues Reich,-1395
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14233",13,2274.61538461538,Administrativer Text,Neues Reich,-1240.5
"Cambridge, Fitzwilliam Museum, E.GA.4761.1943",5,2273.6,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 17",37,2273.13513513513,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TS22",12,2269.66666666667,Opferformel ḥtp-ḏı͗-nsw.t,Neues Reich,-1422.5
"Turin, Museo Egizio, CGT 57479",19,2269.63157894737,Administrativer Text,Neues Reich,-1111
"D. Assiut N13.1 TS18",27,2269.07407407407,Lehre,Neues Reich,-1422.5
"O. DEM_2018_M25_176 + 2019_M25_096",69,2268.23188405797,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 17",25,2265.88,Administrativer Text,Neues Reich,-1291.5
"D. Assiut N13.1 TBS1",77,2265.37662337662,Hymnus im Götterkult,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, OL 43",6,2265,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57153",16,2264.5625,Administrativer Text,Neues Reich,-1158.5
"D. Assiut N13.1 TS31",2,2263,Signatur,Neues Reich,-1422.5
"D. Assiut N13.1 TN39",21,2259.09523809524,Besuchertext,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12626 Kairo, Institut français d’archéologie orientale, 211",114,2255.19298245614,Administrativer Text,Neues Reich,-1152.5
"O. DEM_2020_M25_634",37,2253.16216216216,Kemit,Neues Reich,-1182
"Beit Khallaf K2.8",5,2250.6,nicht spezifiziert,Altes Reich,-2667
"Kairo, Institut français d’archéologie orientale, 2517",4,2250.25,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2561",51,2247.92156862745,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TN38",33,2247.78787878788,Historischer Vermerk,Neues Reich,-1371
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 11272",56,2247.55357142857,Administrativer Text,Neues Reich,-1168.5
"D. Assiut N13.1 TS30",3,2244.33333333333,Namensvermerk,Neues Reich,-1309.5
"Kairo, Institut français d’archéologie orientale, SA 8385",33,2243.81818181818,Administrativer Text,Neues Reich,-1193
"Kairo, Institut français d’archéologie orientale, 8",40,2242.625,Administrativer Text,Neues Reich,-1291.5
"D. Assiut N13.1 TS24",4,2241.5,Kolophon,Neues Reich,-1422.5
"D. Assiut N13.1 TN18",116,2232.44827586207,Besuchertext,Neues Reich,-1388.5
"D. Assiut N13.1 TN35",4,2231.75,Besuchertext,Neues Reich,-1422.5
"D. Assiut N13.1 TN33",258,2230.71705426357,Besuchertext,Neues Reich,-1422.5
"D. Assiut N13.1 TBN2",106,2227.51886792453,Lehre,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 419",28,2227.46428571429,Administrativer Text,Neues Reich,-1248.5
"D. Assiut N13.1 TS35",147,2226.8231292517,Anruf,Neues Reich,-1422.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.1077",9,2226.33333333333,Kemit,Neues Reich,-1182
"London, British Museum, EA 66412",41,2226.31707317073,Administrativer Text,Neues Reich,-1141
"D. Assiut N13.1 TW25",2,2222.5,Fürbitte,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 94",123,2219.48780487805,Administrativer Text,Neues Reich,-1150
"London, British Museum, EA 50730 + EA 50745",43,2219.37209302326,Administrativer Text,Neues Reich,-1142.5
"D. Assiut N13.1 TN43",131,2218.32824427481,Historischer Vermerk,Neues Reich,-1371
"D. Assiut N13.1 TW14",20,2217.15,Fürbitte,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2537",5,2216.8,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57030",55,2216.49090909091,Haushaltsliste,Neues Reich,-1168.5
"Turin, Museo Egizio, CGT 57028",106,2215.19811320755,Haushaltsliste,Neues Reich,-1160.5
"Turin, Museo Egizio, CGT 57026",31,2214.48387096774,Haushaltsliste,Neues Reich,-1161.5
"D. Assiut N13.1 TAS4",144,2212.01388888889,Besuchertext,Neues Reich,-1422.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.927",8,2208.5,Kemit,Neues Reich,-1182
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, 55",3,2206,Brief,Altes Reich,-2263
"D. Assiut N13.1 TAN2",7,2205.42857142857,Besuchertext,Neues Reich,-1422.5
"D. Assiut N13.1 TS11",17,2203.76470588235,Fürbitte,Neues Reich,-1127.5
"Kairo, Ägyptisches Museum, CG 25649 London, British Museum, EA 5672",108,2203.72222222222,Administrativer Text,Neues Reich,-1112.5
"D. Assiut N13.1 TN26",5,2202.8,Besuchertext,Neues Reich,-1422.5
"SAK 2008 448",3,2201.66666666667,nicht spezifiziert,Frühdynastische Zeit,-2788
"D. Assiut N13.1 TS17",11,2200.27272727273,Besuchertext,Neues Reich,-1422.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10006",1,2200,nicht spezifiziert,Mittleres Reich,-1879
"D. Assiut N13.1 TS48",6,2197.5,Namensvermerk,Neues Reich,-1182
"D. Assiut N13.1 TS45",51,2197.11764705882,Fürbitte,Neues Reich,-1168.5
"Kairo, Institut français d’archéologie orientale, OL 46 + 49",17,2195.23529411765,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2586",6,2193,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 15",8,2189.25,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57283",20,2187.5,Namenliste/Onomasticon,Neues Reich,-1160.5
"Kairo, Institut français d’archéologie orientale, 19",31,2186.8064516129,Administrativer Text,Neues Reich,-1291.5
"Kairo, Institut français d’archéologie orientale, 1606",74,2183.67567567568,Namenliste/Onomasticon,Neues Reich,-1228.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.393",8,2183.625,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 9",11,2182.63636363636,Kemit,Neues Reich,-1182
"O. DEM_2020_M25_524",145,2180.16551724138,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 405",31,2180.06451612903,Administrativer Text,Neues Reich,-1212.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 11249",22,2169.90909090909,Administrativer Text,Neues Reich,-1127.5
"Kairo, Institut français d’archéologie orientale, 707",30,2163.56666666667,Administrativer Text,Neues Reich,-1142.5
"Kairo, Institut français d’archéologie orientale, 2587",8,2161.75,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 404",66,2161.72727272727,Administrativer Text,Neues Reich,-1291.5
"Kairo, Institut français d’archéologie orientale, 78",28,2152.25,Administrativer Text,Neues Reich,-1168.5
"Beit Khallaf K1.4",2,2148.5,nicht spezifiziert,Altes Reich,-2667
"D. Assiut N13.1 TS34",101,2147.0297029703,Besuchertext,Neues Reich,-1422.5
"D. Assiut N13.1 TN9",107,2146.20560747664,Kolophon,Neues Reich,-1371
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10011",1,2146,nicht spezifiziert,Mittleres Reich,-1879
"D. Assiut N13.1 TN24",5,2145.6,Lehre,Neues Reich,-1422.5
"D. Assiut N13.1 TN13",61,2145.3606557377,Besuchertext,Zweite Zwischenzeit,-1542
"D. Assiut N13.1 TN36",25,2142.68,Historischer Vermerk,Neues Reich,-1389.5
"Kairo, Institut français d’archéologie orientale, SA 13108",37,2141.81081081081,Haushaltsliste,Neues Reich,-1193
"D. Assiut N13.1 TN41",30,2139.66666666667,Besuchertext,Neues Reich,-1389.5
"Turin, Museo Egizio, CGT 57025",1,2139,Administrativer Text,Neues Reich,-1158.5
"Paris, Musée du Louvre, AE/E 3230 b",48,2136.41666666667,Brief,Neues Reich,-1422.5
"Beit Khallaf K1.3",5,2136.4,nicht spezifiziert,Altes Reich,-2657.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12653",35,2131.85714285714,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2607",35,2129.28571428571,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TAN4",10,2125.3,Lehre,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, SA 12753",35,2124.4,Logbuch,Neues Reich,-1155.5
"D. Assiut N13.1 TS27",123,2124.11382113821,Besuchertext,Neues Reich,-1422.5
"Kairo, Ägyptisches Museum, CG 58035",1,2124,nicht spezifiziert,Dritte Zwischenzeit,-892
"Kairo, Institut français d’archéologie orientale, OL 48",6,2123.33333333333,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 2583",8,2119,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 41",19,2116.21052631579,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TN40",92,2113.76086956522,Besuchertext,Neues Reich,-1422.5
"Chicago, Institute for the Study of Ancient Cultures Museum, E16992",18,2112.55555555556,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, SA 2646",11,2112.18181818182,Administrativer Text,Neues Reich,-1223.5
"D. Assiut N13.1 TS36",75,2110.29333333333,Historischer Vermerk,Neues Reich,-1168.5
"Kairo, Institut français d’archéologie orientale, DeM 578",14,2104.78571428571,Logbuch,Neues Reich,-1153.5
"D. Assiut N13.1 TN3",45,2097.44444444444,Prophezeiung,Neues Reich,-1422.5
"D. Assiut N13.1 TS19",12,2097.08333333333,Opferformel ḥtp-ḏı͗-nsw.t,Neues Reich,-1422.5
"D. Assiut N13.1 TAS3",22,2096.09090909091,Brief,Neues Reich,-1422.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.600",3,2096,Kemit,Neues Reich,-1182
"Beit Khallaf K5.16",6,2095,nicht spezifiziert,Altes Reich,-2667
"Kairo, Institut français d’archéologie orientale, 117",109,2094.30275229358,Zahlungsliste,Neues Reich,-1168.5
"Kairo, Institut français d’archéologie orientale, 829",3,2092.66666666667,nicht spezifiziert,Neues Reich,-1127.5
"D. Assiut N13.1 TN27",8,2082.875,Besuchertext,Neues Reich,-1422.5
"O. SMDAN",6,2082.16666666667,Kemit,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 1024",40,2079.5,Administrativer Text,Neues Reich,-1246
"D. Assiut N13.1 TW30",2,2077,Kolophon,Neues Reich,-1422.5
"D. Assiut N13.1 TN1",92,2076.41304347826,Lehre,Neues Reich,-1422.5
"O. DEM_2019_M25_122",5,2076,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 1884",19,2075.15789473684,Rechnung,Neues Reich,-1148
"Kairo, Institut français d’archéologie orientale, 66",62,2070.6935483871,Administrativer Text,Neues Reich,-1158.5
"D. Assiut N13.1 TO1",31,2062.38709677419,nicht spezifiziert,Neues Reich,-1098.5
"Beit Khallaf K3.14",1,2062,nicht spezifiziert,Altes Reich,-2667
"D. Assiut N13.1 TW20",4,2060.25,Besuchertext,Neues Reich,-1422.5
"D. Assiut N13.1 TS23",4,2060,Signatur,Neues Reich,-1422.5
"D. Assiut N13.1 TN28",33,2056.0303030303,Kolophon,Neues Reich,-1422.5
"D. Assiut N13.1 TAS1",57,2051.22807017544,Lehre,Neues Reich,-1429
"Kairo, Institut français d’archéologie orientale, SA 2491 Ro",79,2043.74683544304,Zahlungsliste,Neues Reich,-1216
"D. Dahshur 03.467",12,2041.08333333333,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TN11",16,2040.0625,Signatur,Neues Reich,-1371
"Kairo, Institut français d’archéologie orientale, 416",27,2039.96296296296,Administrativer Text,Neues Reich,-1240.5
"Turin, Museo Egizio, CGT 57307",19,2038.57894736842,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57206",6,2036,Administrativer Text,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, OL 36",10,2032,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, UC 31945",5,2031.4,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57429",8,2024.875,Administrativer Text,Neues Reich,-1246
"London, British Museum, EA 50728",116,2022.91379310345,Administrativer Text,Neues Reich,-1285
"Turin, Museo Egizio, CGT 57469",23,2022.04347826087,Administrativer Text,Neues Reich,-1291.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14218",12,2015.75,Administrativer Text,Neues Reich,-1240.5
"D. Assiut N13.1 TS1",55,2014.78181818182,Brief,Neues Reich,-1422.5
"D. Assiut N13.1 TS26",49,2014.44897959184,Kolophon,Neues Reich,-1422.5
"D. Assiut N13.1 TS7",30,2013.2,Fürbitte,Neues Reich,-1127.5
"D. Assiut N13.1 TAW1",219,2009.61643835616,Prophezeiung,Neues Reich,-1429
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 12651 Kairo, Institut français d’archéologie orientale, 210 Wien, Papyrusmuseum, Österreichische Nationalbibliothek, Hier. 4",59,2006.96610169492,Administrativer Text,Neues Reich,-1149.5
"D. Assiut N13.1 TBW1",17,2006.58823529412,Lehre,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 96",20,2003.5,Administrativer Text,Neues Reich,-1127.5
"D. Ptahemwia 14",16,2000.5625,Kemit,Neues Reich,-1339.5
"Turin, Museo Egizio, CGT 57039",29,1997.13793103448,Namenliste/Onomasticon,Neues Reich,-1160.5
"Hieratischer Wiederbestattungsvermerk auf äußerer Hülle der Mumie Thutmosis’ II.",1,1991,nicht spezifiziert,Dritte Zwischenzeit,-1007
"Kairo, Institut français d’archéologie orientale, 2599",5,1989.6,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TS42",191,1985.91623036649,Lehre,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2570",41,1981.85365853659,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10010",1,1979,nicht spezifiziert,Mittleres Reich,-1850.5
"Kairo, Institut français d’archéologie orientale, SA 363 / 5",11,1974.45454545455,Administrativer Text,Neues Reich,-1160.5
"D. Assiut N13.1 TS25",73,1971.68493150685,Lehre,Neues Reich,-1422.5
"Turin, Museo Egizio, CGT 57036",32,1963.21875,Administrativer Text,Neues Reich,-1160.5
"Turin, Museo Egizio, CGT 57156",17,1957.47058823529,Administrativer Text,Neues Reich,-1168.5
"Kairo, Institut français d’archéologie orientale, 222",69,1942.82608695652,Administrativer Text,Neues Reich,-1155.5
"Kairo, Institut français d’archéologie orientale, 402",30,1938.86666666667,Administrativer Text,Neues Reich,-1153.5
"Kairo, Institut français d’archéologie orientale, SA 357",6,1927,Administrativer Text,Neues Reich,-1154.5
"D. Assiut N13.1 TN14a–e",12,1926.16666666667,Götternamen und -Titel,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2593",17,1921.58823529412,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10633",73,1908.35616438356,Administrativer Text,Neues Reich,-1155.5
"D. Assiut N13.1 TBS2",4,1907,Signatur,Neues Reich,-1422.5
"O. DEM_2018_M25_038",6,1894.83333333333,Kemit,Neues Reich,-1182
"D. Assiut N13.1 TN20",9,1887,Lehre,Neues Reich,-1422.5
"London, Petrie Museum of Egyptian Archaeology, 32161",1,1872,Mathematischer Text,Mittleres Reich,-1802
"Turin, Museo Egizio, CGT 57432",37,1872,Administrativer Text,Neues Reich,-1168.5
"London, Petrie Museum of Egyptian Archaeology, 46284",1,1868,nicht spezifiziert,Neues Reich,-1344.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 14666",11,1864.90909090909,Administrativer Text,Neues Reich,-1153.5
"D. Assiut N13.1 TS44a–b",11,1845.81818181818,nicht spezifiziert,Neues Reich,-1182
"D. Assiut N13.1 TW24",10,1833.7,Historischer Vermerk,Neues Reich,-1308.5
"Kairo, Institut français d’archéologie orientale, 209",104,1822.83653846154,Administrativer Text,Neues Reich,-1154.5
"D. Assiut N13.1 TW17",2,1803.5,Besuchertext,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2601",4,1799,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 107",17,1792.88235294118,Administrativer Text,Neues Reich,-1150
"D. Assiut N13.1 TN5",20,1769.5,Besuchertext,Neues Reich,-1422.5
"D. Assiut N13.1 TN7",1,1728,Kolophon,Neues Reich,-1422.5
"D. Assiut N13.1 TN32",8,1715,Historischer Vermerk,Neues Reich,-1388.5
"London, Petrie Museum of Egyptian Archaeology, 32215",2,1698,Brief,Mittleres Reich,-1802
"D. Assiut N13.1 TBN1",5,1620.4,Lehre,Neues Reich,-1422.5
"Kairo, Institut français d’archéologie orientale, 2287",1,1601,Kemit,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 214",13,1590.23076923077,Administrativer Text,Neues Reich,-1152.5
"Beit Khallaf K3.9",1,1585,nicht spezifiziert,Altes Reich,-2667
"New York City, Metropolitan Museum of Art, MMA 27.3.560",2,1420,Brief,Neues Reich,-1465.5
