text,n_instances,mean_complexity,genre,epoche,date
"Kairo, Institut français d’archéologie orientale, 2501",2,3285,Kemit,Neues Reich,-1182
"London, British Museum, EA 10249",278,3279.52517985612,Literarischer Text,Neues Reich,-1199.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.868",7,3270,Kemit,Neues Reich,-1182
"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.314",50,3262.44,Buch vom Atmen,Griechisch-römische Zeit,-11.5
"Kairo, Institut français d’archéologie orientale, 2569",3,3261.33333333333,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, ÄM 13665",2,3258.5,nicht spezifiziert,Altes Reich,-2263
"P. Abusir Kairo kl. Fragmente",4,3252.25,Administrativer Text,Altes Reich,-2394.5
"D. Hatnub 14",31,3242.09677419355,Biographischer Text,Erste Zwischenzeit,-2092.5
"D. Hatnub 17",30,3239.43333333333,Biographischer Text,Erste Zwischenzeit,-2092.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10494",4,3237.5,Brief,Neues Reich,-1097.5
"Paris, Bibliothèque Nationale de France, 196 II",1,3237,Brief,Neues Reich,-1089.5
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.456",5,3235.4,Kemit,Neues Reich,-1182
"London, British Museum, EA 10183",243,3231.83950617284,Erzählung,Neues Reich,-1198.5
"Kairo, Institut français d’archéologie orientale, 2549",14,3228.92857142857,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10495",2,3227.5,Namenliste/Onomasticon,Zweite Zwischenzeit,-1711.5
"Paris, Bibliothèque Nationale de France, Egyptien 186–194",267,3223.82771535581,Lehre,Mittleres Reich,-1879
"Prag, Náprstek Museum, P 3826",8,3221.75,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3029 [a]",240,3221.10416666667,Nicht spezifizierter Königlicher Text,Neues Reich,-1413.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056",88,3219.06818181818,Hymnus im Götterkult,Dritte Zwischenzeit,-830
"London, Petrie Museum of Egyptian Archaeology, UC 32200",2,3217,Brief,Mittleres Reich,-1879
"London, Petrie Museum of Egyptian Archaeology, UC 32783",20,3210.45,Brief,Neues Reich,-1347.5
"London, Petrie Museum of Egyptian Archaeology, 32191",1,3208,nicht spezifiziert,Mittleres Reich,-1879
"Prag, Náprstek Museum, P 3830",15,3198.4,Kemit,Neues Reich,-1182
"P. Strasbourg Fa",1,3195,nicht spezifiziert,Altes Reich,-2263
"D. Hatnub 23",22,3194.18181818182,Biographischer Text,Erste Zwischenzeit,-2092.5
"London, British Museum, EA 10181",262,3191.71374045802,Erzählung,Neues Reich,-1240.5
"London, British Museum, EA 10188 [palimpsest new]",204,3186.56862745098,Ritualtext im Götterkult,Griechisch-römische Zeit,-313.5
"Kairo, Institut français d’archéologie orientale, 2551",8,3180.125,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3033",342,3173.35380116959,Erzählung,Zweite Zwischenzeit,-1565
"Turin, Museo Egizio, CGT 57552",9,3170.88888888889,Kemit,Neues Reich,-1182
"P. Abusir Berlin kleine Fragmente",13,3170.84615384615,Administrativer Text,Altes Reich,-2419.5
"Sankt Petersburg, State Hermitage Museum, ДВ 1116 B vo",56,3160.30357142857,Literarischer Text,Neues Reich,-1413.5
"London, Petrie Museum of Egyptian Archaeology, UC 32271 A",15,3157,Kemit,Mittleres Reich,-1828
"P. Berl. Brief Td",1,3155,Brief,Mittleres Reich,-1852.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3025",11,3152.27272727273,Erzählung,Mittleres Reich,-1808.5
"Paris, Bibliothèque Nationale de France, Egyptien 209",59,3149.94915254237,nicht spezifiziert,Neues Reich,-1292.5
"Kairo, Institut français d’archéologie orientale, 2556",43,3143.60465116279,Kemit,Neues Reich,-1182
"Sankt Petersburg, State Hermitage Museum, ДВ 1115",42,3141.04761904762,Erzählung,Mittleres Reich,-1914
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3022 New York City, Pierpont Morgan Library, Amh. Egy. Pap. 4",526,3135.43155893536,Erzählung,Mittleres Reich,-1808.5
