script,sessionId,sessionIndex,expert,metric,n,r,z
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,peakSpeed,304,-0.0740987871652597,-0.0742348520441571
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,rmsVstar,304,-0.113640781280802,-0.114133801429518
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,meanAccel,304,-0.195551198386902,-0.198102643751123
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,peakAccel,304,-0.102951383734502,-0.103317441280071
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,rmsAstar,304,0.446030105826294,0.479733439975778
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,meanJerk,304,-0.0368507246501391,-0.0368674190533565
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,peakJerk,304,0.0470585574295236,0.0470933408393709
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,rmsJstar,304,0.540778935626698,0.605255827020713
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,totalTurningAbs,304,0.439849478766489,0.472044161471493
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,peakTurningAbs,304,0.18151804579109,0.183552010481374
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,p95TurningAbs,304,0.0496241977536819,0.0496649922507556
Hebrew,fd6ab5e9-b2a6-4189-a60d-c57e15c6b351,7,0,meanTurning,304,0.125030842824314,0.125688546656132
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,drawingTime,138,0.32014067444275,0.331803839430694
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,pathLength,138,0.281755391296945,0.289587812590182
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,skeletonPixelCount,138,0.375467767589911,0.394773102739035
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,totalWorkProxy,138,0.331518809190271,0.344533635867359
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,workPerLength,138,-0.0125694215326077,-0.0125700835444983
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,meanSpeed,138,-0.0618712946040794,-0.0619504253834837
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,peakSpeed,138,0.147969454415015,0.149063795530432
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,rmsVstar,138,0.0870367058106278,0.0872574891379626
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,meanAccel,138,-0.0731452087887372,-0.0732760768414003
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,peakAccel,138,0.126151360139234,0.126827021402023
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,rmsAstar,138,0.249465208906822,0.254842449328365
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,meanJerk,138,-0.0331494002804362,-0.0331615507271842
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,peakJerk,138,0.062356173366137,0.0624371821191511
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,rmsJstar,138,0.280975687121652,0.288741075053613
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,totalTurningAbs,138,0.308636749496315,0.319037925661916
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,peakTurningAbs,138,0.151772494707456,0.15295422508321
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,p95TurningAbs,138,0.0765133795021095,0.0766632168596489
Latin,7a2f0a4e-8f49-449f-9ca7-f8568eb65678,8,1,meanTurning,138,0.0525229716392466,0.0525713494576622
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,drawingTime,136,0.186487632405776,0.188695761370448
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,pathLength,136,0.222106126671168,0.225870438696478
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,skeletonPixelCount,136,0.352208948431,0.367963299623221
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,totalWorkProxy,136,0.229382166910922,0.233537222548894
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,workPerLength,136,0.104695158181357,0.105080217638196
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,meanSpeed,136,0.174813676187002,0.176627816332577
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,peakSpeed,136,0.294891419348524,0.303915159246904
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,rmsVstar,136,0.336888460219661,0.350578468603868
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,meanAccel,136,0.174324782776413,0.176123555867558
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,peakAccel,136,0.0455162557441864,0.0455477273309741
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,rmsAstar,136,0.216730829215381,0.220223243690332
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,meanJerk,136,0.0545493773134476,0.0546035804572061
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,peakJerk,136,-0.0317641839841168,-0.0317748734222038
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,rmsJstar,136,0.172348156896886,0.17408570080323
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,totalTurningAbs,136,0.286766856313216,0.295039840826175
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,peakTurningAbs,136,0.217460610619106,0.220989121372391
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,p95TurningAbs,136,0.239040544813008,0.243756263403251
Latin,bc749f8a-5022-4c3b-9c6b-297cd6a15fab,9,1,meanTurning,136,0.209448008269153,0.212593958906723
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,drawingTime,139,0.410190614926233,0.435840376786417
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,pathLength,139,0.296565578086772,0.305749764624033
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,skeletonPixelCount,139,0.366662209427701,0.384561394208606
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,totalWorkProxy,139,0.406976519053827,0.431982186613211
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,workPerLength,139,0.149226452431861,0.150349176685238
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,meanSpeed,139,-0.179135344484518,-0.181089223647762
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,peakSpeed,139,0.0947960087838717,0.0950815042944798
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,rmsVstar,139,0.340142199849207,0.354253324557641
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,meanAccel,139,-0.201243675058736,-0.204028385380618
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,peakAccel,139,0.0900062008892093,0.0902504393862388
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,rmsAstar,139,0.294508049850183,0.303495328290447
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,meanJerk,139,-0.111202328957542,-0.111664134674667
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,peakJerk,139,0.186722143183278,0.188938732748932
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,rmsJstar,139,0.266135132151099,0.272699714273233
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,totalTurningAbs,139,0.281699741604321,0.289527365159471
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,peakTurningAbs,139,0.0565476078575399,0.0566079965730919
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,p95TurningAbs,139,0.0684963479563126,0.0686037730989255
Latin,a5c665e8-1876-4b0b-88f8-4d22ca9ff3d8,10,1,meanTurning,139,0.128999333664822,0.129722116037331
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,drawingTime,139,0.232567099021242,0.236901647813414
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,pathLength,139,0.259785428108086,0.265878292053945
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,skeletonPixelCount,139,0.314223538237093,0.32522479393268
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,totalWorkProxy,139,0.132972653323057,0.133764803103609
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,workPerLength,139,-0.171851554157258,-0.173573940552316
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,meanSpeed,139,0.0328900818067649,0.0329019492076587
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,peakSpeed,139,0.113138554276888,0.113625033069265
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,rmsVstar,139,0.210696535800031,0.213900128366403
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,meanAccel,139,-0.126607034003423,-0.127290091288727
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,peakAccel,139,0.127531677074821,0.128229909317103
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,rmsAstar,139,0.142289220263219,0.143261329858783
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,meanJerk,139,-0.0192848347867651,-0.0192872260282569
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,peakJerk,139,0.0512828050061846,0.0513278327416113
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,rmsJstar,139,0.150377365107085,0.151526509572724
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,totalTurningAbs,139,0.0820112993841518,0.0821959102791193
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,peakTurningAbs,139,0.0358680229022797,0.0358834163703465
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,p95TurningAbs,139,-0.0966679190309874,-0.0969707291203458
Latin,d1608fa6-f859-4bb6-9c72-7fe17a00de72,11,1,meanTurning,139,-0.107975517123275,-0.108398095614701
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,drawingTime,137,0.205804083304228,0.208785867578552
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,pathLength,137,0.276291383985983,0.283662473942335
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,skeletonPixelCount,137,0.355947951068724,0.37223826971785
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,totalWorkProxy,137,0.206758266845853,0.209782458050444
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,workPerLength,137,-0.0859878325070071,-0.0862007063784852
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,meanSpeed,137,0.026874230889834,0.0268807034355814
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,peakSpeed,137,0.153912252363538,0.155145165762855
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,rmsVstar,137,0.0653999272672788,0.0654934090631399
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,meanAccel,137,-0.018161252885107,-0.0181632499957247
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,peakAccel,137,0.0228891755764106,0.0228931741560139
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,rmsAstar,137,0.0636010573261625,0.0636870234965007
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,meanJerk,137,0.0363371954668081,0.0363532012604068
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,peakJerk,137,0.0255616981129455,0.0255672676379325
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,rmsJstar,137,0.0847489953749978,0.0849527744461572
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,totalTurningAbs,137,0.15925413256519,0.160621326424879
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,peakTurningAbs,137,0.147513536311948,0.148597703777791
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,p95TurningAbs,137,0.090883435262833,0.0911349090145002
Latin,e4f50c5e-b684-4501-8415-187e67bf60e1,12,1,meanTurning,137,-0.00671224660670002,-0.00671234741451411
Latin,01ae97ad-9b4e-4354-b427-96a0f18b523f,13,0,drawingTime,138,0.298028136572762,0.307354125630524
Latin,01ae97ad-9b4e-4354-b427-96a0f18b523f,13,0,pathLength,138,0.557672967925181,0.629449399639123
Latin,01ae97ad-9b4e-4354-b427-96a0f18b523f,13,0,skeletonPixelCount,138,0.447317173973735,0.48134130564975
Latin,01ae97ad-9b4e-4354-b427-96a0f18b523f,13,0,totalWorkProxy,138,0.387663366122202,0.409047196697873
