sign_id,grapheme_id,mdc,Unicode,ht_local_path,schriftart,text,datierung,datierung_href,in_text_selection
484,61,B2,𓁑,svgs/ht/ht_484.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
485,58,B1,𓁐,svgs/ht/ht_485.svg,Hieratisch,"London, British Museum, EA 10188 [palimpsest new]","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",https://aku-pal.uni-mainz.de/datings/136,FALSE
487,60,B7C,B7C,svgs/ht/ht_487.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3008","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios VI. Philometor – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios IX. Soter II. (1. Regierungszeit in Ägypten)",https://aku-pal.uni-mainz.de/datings/155,FALSE
488,58,B1,𓁐,svgs/ht/ht_488.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3008","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios VI. Philometor – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios IX. Soter II. (1. Regierungszeit in Ägypten)",https://aku-pal.uni-mainz.de/datings/155,FALSE
489,58,B1,𓁐,svgs/ht/ht_489.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3008","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios VI. Philometor – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios IX. Soter II. (1. Regierungszeit in Ägypten)",https://aku-pal.uni-mainz.de/datings/155,FALSE
490,58,B1,𓁐,svgs/ht/ht_490.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3008","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios VI. Philometor – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios IX. Soter II. (1. Regierungszeit in Ägypten)",https://aku-pal.uni-mainz.de/datings/155,FALSE
491,58,B1,𓁐,svgs/ht/ht_491.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3008","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios VI. Philometor – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios IX. Soter II. (1. Regierungszeit in Ägypten)",https://aku-pal.uni-mainz.de/datings/155,FALSE
492,60,B7C,B7C,svgs/ht/ht_492.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 13242 Ro","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus",https://aku-pal.uni-mainz.de/datings/128,FALSE
493,58,B1,𓁐,svgs/ht/ht_493.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 13242 Ro","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus",https://aku-pal.uni-mainz.de/datings/128,FALSE
494,27,A48,𓀹,svgs/ht/ht_494.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 13242 Ro","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus",https://aku-pal.uni-mainz.de/datings/128,FALSE
496,60,B7C,B7C,svgs/ht/ht_496.svg,Hieratisch,"Leiden, Rijksmuseum van Oudheden, L.I.2","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Nero, Regierungsjahr 11, Tag 30, Phamenoth",https://aku-pal.uni-mainz.de/datings/125,FALSE
497,60,B7C,B7C,svgs/ht/ht_497.svg,Hieratisch,"Leiden, Rijksmuseum van Oudheden, L.I.2","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Nero, Regierungsjahr 11, Tag 30, Phamenoth",https://aku-pal.uni-mainz.de/datings/125,FALSE
498,58,B1,𓁐,svgs/ht/ht_498.svg,Hieratisch,"Leiden, Rijksmuseum van Oudheden, L.I.2","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Nero, Regierungsjahr 11, Tag 30, Phamenoth",https://aku-pal.uni-mainz.de/datings/125,FALSE
499,58,B1,𓁐,svgs/ht/ht_499.svg,Hieratisch,"Leiden, Rijksmuseum van Oudheden, L.I.2","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Nero, Regierungsjahr 11, Tag 30, Phamenoth",https://aku-pal.uni-mainz.de/datings/125,FALSE
500,27,A48,𓀹,svgs/ht/ht_500.svg,Hieratisch,"Leiden, Rijksmuseum van Oudheden, L.I.2","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Nero, Regierungsjahr 11, Tag 30, Phamenoth",https://aku-pal.uni-mainz.de/datings/125,FALSE
501,58,B1,𓁐,svgs/ht/ht_501.svg,Hieratisch,"Leiden, Rijksmuseum van Oudheden, L.I.2","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Nero, Regierungsjahr 11, Tag 30, Phamenoth",https://aku-pal.uni-mainz.de/datings/125,FALSE
502,60,B7C,B7C,svgs/ht/ht_502.svg,Hieratisch,"London, British Museum, EA 10672",Griechisch-römische Zeit,https://aku-pal.uni-mainz.de/datings/153,FALSE
503,58,B1,𓁐,svgs/ht/ht_503.svg,Hieratisch,"London, British Museum, EA 10672",Griechisch-römische Zeit,https://aku-pal.uni-mainz.de/datings/153,FALSE
504,58,B1,𓁐,svgs/ht/ht_504.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 7809 + P. 7810 Paris, Musée du Louvre, AF 11112","Griechisch-römische Zeit, Antoninische Dynastie, Trajan – Griechisch-römische Zeit, Antoninische Dynastie, Antoninus Pius",https://aku-pal.uni-mainz.de/datings/154,FALSE
