datierung,startdatum,enddatum,epoche,epoche_startdatum,epoche_enddatum
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 12",-1341,-1340,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 14",-1339,-1338,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 16",-1337,-1336,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 4, Monat 2, Jahreszeit ꜣḫ.t, Tag 7",-1349,-1348,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 5",-1348,-1347,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 5, Monat 3, Jahreszeit pr.t, Tag 19",-1348,-1347,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 7",-1346,-1345,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 8",-1345,-1344,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Hatschepsut",-1473,-1458,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Hatschepsut – Neues Reich, 18. Dynastie, Amenhotep II.",-1473,-1400,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Hatschepsut – Neues Reich, 18. Dynastie, Thutmosis III.",-1473,-1425,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III.",-1479,-1425,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III. – Neues Reich, 18. Dynastie, Amenhotep II.",-1479,-1400,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III. (Alleinregierung) – Neues Reich, 18. Dynastie, Amenhotep II.",-1458,-1400,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III. (Alleinregierung), Regierungsjahr 28 – Neues Reich, 18. Dynastie, Thutmosis III. (Alleinregierung), Regierungsjahr 34",-1431,-1425,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III. (Alleinregierung), Regierungsjahr 37, Monat 4, Jahreszeit pr.t, Tag 11",-1431,-1425,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III., Jahreszeit pr.t",-1479,-1425,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III., Regierungsjahr 41, Monat 3, Jahreszeit šm.w, Tag 22",-1439,-1438,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III., Regierungsjahr 43, Monat 2, Jahreszeit pr.t, Tag 2",-1437,-1436,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis III., Regierungsjahr 45, Monat 1, Jahreszeit ꜣḫ.t, Tag 9",-1435,-1434,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis IV.",-1400,-1390,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Thutmosis IV. – Neues Reich, 18. Dynastie, Amenhotep III.",-1400,-1352,Neues Reich,-1550,-1069
"Neues Reich, 18. Dynastie, Tutanchamun, Regierungsjahr 2",-1335,-1334,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie",-1295,-1186,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie – Neues Reich, 20. Dynastie",-1295,-1069,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Amenmesse – Neues Reich, 19. Dynastie, Sethos II.",-1203,-1194,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Merenptah",-1213,-1203,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Merenptah – Neues Reich, 19. Dynastie, Sethos II.",-1213,-1194,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Merenptah – Neues Reich, 19. Dynastie, Tausret",-1213,-1186,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Merenptah, Regierungsjahr 10",-1204,-1203,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Merenptah, Regierungsjahr 3",-1211,-1210,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Merenptah, Regierungsjahr 8, Monat 3, Jahreszeit pr.t, Tag 5 – Neues Reich, 19. Dynastie, Tausret, Regierungsjahr 8, Monat 3, Jahreszeit pr.t, Tag 5",-1206,-1206,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Monat 1, Jahreszeit ꜣḫ.t, Tag 4 – Neues Reich, 20. Dynastie, Monat 1, Jahreszeit ꜣḫ.t, Tag 8",-1295,-1069,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Monat 2, Jahreszeit pr.t, Tag 6 – Neues Reich, 20. Dynastie, Monat 2, Jahreszeit pr.t, Tag 17",-1295,-1069,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Monat 3, Jahreszeit pr.t, Tag 7",-1295,-1186,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II.",-1279,-1213,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II. – Neues Reich, 19. Dynastie, Sethos II., Regierungsjahr 2",-1279,-1198,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II. – Neues Reich, 20. Dynastie, Ramses III.",-1279,-1153,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II., Monat 2, Jahreszeit pr.t, Tag 20 – Neues Reich, 19. Dynastie, Ramses II., Monat 2, Jahreszeit pr.t, Tag 23",-1279,-1213,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 39 – Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 63",-1241,-1216,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 41 – Neues Reich, 19. Dynastie, Tausret",-1239,-1186,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 44",-1236,-1235,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 46",-1234,-1233,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 52",-1228,-1227,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 56",-1224,-1223,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 63 – Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 64",-1217,-1215,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I.",-1294,-1279,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I. – Neues Reich, 19. Dynastie, Merenptah",-1294,-1203,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I. – Neues Reich, 19. Dynastie, Ramses II.",-1294,-1213,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 1 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2",-1294,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2",-1293,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2 – Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 2",-1293,-1277,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2, Monat 1, Jahreszeit ꜣḫ.t, Tag 7",-1293,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2, Monat 4, Jahreszeit šm.w, Tag 3",-1293,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2, Monat 4, Jahreszeit šm.w, Tag 3 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2, Monat 1, Jahreszeit ꜣḫ.t, Tag 3",-1293,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit šm.w, Tag 18 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit ꜣḫ.t, Tag 15",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit šm.w, Tag 22 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit šm.w, Tag 25",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit ꜣḫ.t, Tag 10",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit ꜣḫ.t, Tag 30",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 2, Jahreszeit pr.t, Tag 30 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 3, Jahreszeit pr.t, Tag 30",-1292,-1291,Neues Reich,-1550,-1069
