text,aku_text_id,aku_url,n_signs,genre,textinhalt_raw,datierung,epoche,date_start,date_end,date_mid,register,notes
"Kairo, Ägyptisches Museum, CG 58041 A-B",5000076,https://aku-pal.uni-mainz.de/texts/5000076,1,nicht spezifiziert,nicht spezifiziert,"Neues Reich, 19. Dynastie – Neues Reich, 20. Dynastie",Neues Reich,-1295,-1069,-1182,,
D. Hatnub 1,5000471,https://aku-pal.uni-mainz.de/texts/5000471,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 6. Dynastie, Teti",Altes Reich,-2345,-2323,-2334,,
"London, Petrie Museum of Egyptian Archaeology, UC 32209",5000926,https://aku-pal.uni-mainz.de/texts/5000926,1,Brief,Brief (an einen Lebenden),"Mittleres Reich, 12. Dynastie – Zweite Zwischenzeit, 13. Dynastie",Mittleres Reich,-1985,-1650,-1818,,
"London, Petrie Museum of Egyptian Archaeology, UC 32178",5000927,https://aku-pal.uni-mainz.de/texts/5000927,1,nicht spezifiziert,nicht spezifiziert,"Mittleres Reich, 12. Dynastie",Mittleres Reich,-1985,-1773,-1879,,
"Kairo, Ägyptisches Museum, CG 28027",5000935,https://aku-pal.uni-mainz.de/texts/5000935,1,Sargtexte,Sargtexte,"Mittleres Reich, 11. Dynastie (nach der Reichseinigung)",Mittleres Reich,-2055,-1985,-2020,,
"Paris, Musée du Louvre, E 15594",56861,https://aku-pal.uni-mainz.de/texts/56861,1,Sargtexte,Sargtexte,Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
"New York City, Metropolitan Museum of Art, 22.3.525",5000944,https://aku-pal.uni-mainz.de/texts/5000944,1,Rechnung,Rechnung,"Mittleres Reich, 12. Dynastie, Amenemhet I.",Mittleres Reich,-1985,-1956,-1970,,
"London, British Museum, EA 10757",380844,https://aku-pal.uni-mainz.de/texts/380844,1,Medizinischer Text,Medizinischer Text,"Mittleres Reich, 12. Dynastie, Amenemhet III. – Zweite Zwischenzeit, 13. Dynastie",Mittleres Reich,-1831,-1650,-1740,,
P. Illahun Tp Gr.,5000947,https://aku-pal.uni-mainz.de/texts/5000947,1,Inventarliste,Inventarliste,"Mittleres Reich, 12. Dynastie",Mittleres Reich,-1985,-1773,-1879,,
"Giza IV, pl. 10",5000953,https://aku-pal.uni-mainz.de/texts/5000953,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 6. Dynastie",Altes Reich,-2345,-2181,-2263,,
"Kairo, Ägyptisches Museum, CG 91061",5001090,https://aku-pal.uni-mainz.de/texts/5001090,1,Brief,Brief (an einen Lebenden),"Mittleres Reich, 11. Dynastie (nach der Reichseinigung)",Mittleres Reich,-2055,-1985,-2020,,
"London, British Museum, EA 9905",134287,https://aku-pal.uni-mainz.de/texts/134287,1,Totenbuch,Totenbuch,"Neues Reich, 18. Dynastie, Thutmosis III. – Neues Reich, 18. Dynastie, Amenhotep II.",Neues Reich,-1479,-1400,-1440,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10011",5001126,https://aku-pal.uni-mainz.de/texts/5001126,1,nicht spezifiziert,nicht spezifiziert,"Mittleres Reich, 12. Dynastie",Mittleres Reich,-1985,-1773,-1879,,
"Oxford, Ashmolean Museum, ANAsh.Mus.H.O.934",5001154,https://aku-pal.uni-mainz.de/texts/5001154,1,Kemit,Kemit,"Neues Reich, 19. Dynastie – Neues Reich, 20. Dynastie",Neues Reich,-1295,-1069,-1182,,
D. Hatnub 38,5001171,https://aku-pal.uni-mainz.de/texts/5001171,1,nicht spezifiziert,nicht spezifiziert,"Erste Zwischenzeit, 9./10. Dynastie – Mittleres Reich",Erste Zwischenzeit,-2160,-1650,-1905,,
"Florenz, Museo Egizio, 3660 A",134278,https://aku-pal.uni-mainz.de/texts/134278,1,Totenbuch,Totenbuch,"Neues Reich, 18. Dynastie, Hatschepsut – Neues Reich, 18. Dynastie, Thutmosis III.",Neues Reich,-1473,-1425,-1449,,
"Chicago, Institute for the Study of Ancient Cultures Museum, 5739",57161,https://aku-pal.uni-mainz.de/texts/57161,1,Totenbuch,Totenbuch,"Spätzeit, 26. Dynastie",Spätzeit,-664,-525,-594,,
P. Berl. Brief Ḳmꜣ,5001201,https://aku-pal.uni-mainz.de/texts/5001201,1,Brief,Brief (an einen Lebenden),Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
P. Berl. Brief Td,5001202,https://aku-pal.uni-mainz.de/texts/5001202,1,Brief,Brief (an einen Lebenden),Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
P. Berl. M p a,5001203,https://aku-pal.uni-mainz.de/texts/5001203,1,nicht spezifiziert,nicht spezifiziert,Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
P. Berl. M,5001204,https://aku-pal.uni-mainz.de/texts/5001204,1,nicht spezifiziert,nicht spezifiziert,Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10015",5001207,https://aku-pal.uni-mainz.de/texts/5001207,1,nicht spezifiziert,nicht spezifiziert,Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
Beit Khallaf K3.9,5001216,https://aku-pal.uni-mainz.de/texts/5001216,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 3. Dynastie, Djoser (Netjerichet) – Altes Reich, 3. Dynastie, Nebka (Sanacht)",Altes Reich,-2667,-2667,-2667,,
Beit Khallaf K3.10,5001275,https://aku-pal.uni-mainz.de/texts/5001275,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 3. Dynastie, Djoser (Netjerichet) – Altes Reich, 3. Dynastie, Nebka (Sanacht)",Altes Reich,-2667,-2667,-2667,,
Beit Khallaf K3.14,5001276,https://aku-pal.uni-mainz.de/texts/5001276,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 3. Dynastie, Djoser (Netjerichet) – Altes Reich, 3. Dynastie, Nebka (Sanacht)",Altes Reich,-2667,-2667,-2667,,
"London, Petrie Museum of Egyptian Archaeology, 32191",5001235,https://aku-pal.uni-mainz.de/texts/5001235,1,nicht spezifiziert,nicht spezifiziert,"Mittleres Reich, 12. Dynastie",Mittleres Reich,-1985,-1773,-1879,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10006",5001237,https://aku-pal.uni-mainz.de/texts/5001237,1,nicht spezifiziert,nicht spezifiziert,"Mittleres Reich, 12. Dynastie",Mittleres Reich,-1985,-1773,-1879,,
"P. Illahun, Tempeltagebuch Jahr 6",5001241,https://aku-pal.uni-mainz.de/texts/5001241,1,nicht spezifiziert,nicht spezifiziert,Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
"London, Petrie Museum of Egyptian Archaeology, UC 32055",5001243,https://aku-pal.uni-mainz.de/texts/5001243,1,nicht spezifiziert,nicht spezifiziert,Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
"Princeton (NJ), University Library, Pharaonic Roll 5",134836,https://aku-pal.uni-mainz.de/texts/134836,1,Totenbuch,Totenbuch,"Neues Reich, 18. Dynastie",Neues Reich,-1550,-1295,-1422,,
"Berkeley (CA), University of California - Bancroft Library, P. Hearst 02",5000039,https://aku-pal.uni-mainz.de/texts/5000039,1,Administrativer Text,Administrativer Text,"Mittleres Reich, 12. Dynastie, Sesostris I.",Mittleres Reich,-1956,-1911,-1934,,
"Spiegelberg, Hieratic ostraca and papyri pl. 42",5001247,https://aku-pal.uni-mainz.de/texts/5001247,1,Literarischer Text,Literarischer Text,"Neues Reich, 19. Dynastie – Neues Reich, 20. Dynastie",Neues Reich,-1295,-1069,-1182,,
"London, British Museum, EA 10208",57792,https://aku-pal.uni-mainz.de/texts/57792,1,nicht spezifiziert,nicht spezifiziert,"Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV. – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios I. Soter I.",Griechisch-römische Zeit,-317,-285,-301,,
"Berlin, Ägyptisches Museum und Papyrussammlung, 22573",5000123,https://aku-pal.uni-mainz.de/texts/5000123,1,Totenbrief,Totenbrief,"Erste Zwischenzeit, 9./10. Dynastie",Erste Zwischenzeit,-2160,-2025,-2092,,
