"sign ID","grapheme ID","mdc"
"1329","1402","A38"
"1330","54","A37"
"1331","29","A50"
"1332","4","A17"
"1333","22","A18"
"1334","10","A7A"
"1335","1","A1"
"1336","1","A1"
"1337","1","A1"
"1338","1","A1"
"1339","1","A1"
"1340","3","A2"
"1341","3","A2"
"1342","207","E130"
"1343","3","A2"
"1344","858","A73"
"1346","7","A30"
"1347","7","A30"
"1348","36","A9"
"1349","25","A47"
"1350","23","Z6"
"1351","23","Z6"
"1352","19","A15"
"1353","19","A15"
"1354","57","A98"
"1355","58","B1"
"1356","58","B1"
"1357","27","A48"
"1358","27","A48"
"1359","1757","Bx3"
"1360","62","B4"
"1361","123","D1"
"1362","124","D2"
"1363","124","D2"
"1368","126","D3"
"1369","126","D3"
"1370","128","D4"
"1371","130","D6"
"1372","131","D7"
"1373","135","D12"
"1374","127","D13"
"1375","127","D13"
"1376","125","D20"
"1377","137","D21"
"1378","137","D21"
"1379","141","D25"
"1380","1126","D154"
"1381","1126","D154"
"1382","165","D27"
"1383","166","D52"
"1384","167","D53"
"1385","167","D53"
"1386","428","N41"
"1387","428","N41"
"1388","428","N41"
"1389","428","N41"
"1390","428","N41"
"1391","151","D36"
"1392","151","D36"
"1393","152","D42"
"1394","153","D41"
"1395","154","D37"
"1397","159","D40"
"1398","159","D40"
"1399","159","D40"
"1400","159","D40"
"1401","158","D43"
"1402","150","D45"
"1403","150","D45"
"1404","144","D28"
"1405","144","D28"
"1406","144","D28"
"1407","145","D32"
"1408","147","D35"
"1409","149","D33"
"1411","148","D34"
"1412","1612","F118B"
"1413","1612","F118B"
"1414","161","D46"
"1415","161","D46"
"1416","4","A17"
"1417","160","D49"
"1419","164","D51"
"1420","164","D51"
"1421","169","D54"
"1422","169","D54"
"1423","171","D56"
"1424","172","D57"
"1425","173","D58"
"1426","199","E23"
"1427","191","E34"
"1428","191","E34"
"1429","183","E12"
"1430","183","E12"
"1431","186","E28"
"1432","190","E8"
"1433","190","E8"
"1434","184","E10"
"1435","175","E1"
"1436","175","E1"
"1437","175","E1"
"1438","180","E9"
"1439","204","E21"
"1440","204","E21"
"1441","231","F4"
"1442","210","F10"
"1443","228","F5"
"1444","209","F2"
"1445","209","F2"
"1446","208","F1"
"1447","212","F13"
"1448","212","F13"
"1449","214","F15"
"1450","215","F16"
"1451","217","F21"
"1452","217","F21"
